text,clean_text,label
"Solusi praktis khusus pemegang kartu kredit nikmati kemudahan Kredit Tanpa agunan 5 - 150jt dgn max pinj 5 X limit, HUB FANY 02194521396 ( abaikan jika tdk berminat )",solusi praktis khusus pemegang kartu kredit nikmati kemudahan kredit tanpa agunan 5 150jt dengan max pinj 5 x limit hubungi fany 02194521396 abaikan jika tidak berminat,1
"Slmt_No. Anda Mndptkn Hadiah ""GRAND PRIZE"" Uang 'Rp.100jt,dr TELKOMSEL poin No.PIN-25g47jk Hub Call Center 081233303888 Pengirim : T-Sel",selamat no anda mndptkn hadiah grand prize uang rupiah 100jt dari telkomsel poin no pin 25g47jk hubungi call center 0812330388 pengirim t sel,1
Masih ingat dengan Warkop DKI ? Dapatkan NSP nya GRATIS dengan akses ke *600# dan dapatkan promo gratis lainnya sesuai dengan hobimu!,masih ingat dengan warkop dki dapatkan nsp nya gratis dengan akses ke 600 dan dapatkan promo gratis lainnya sesuai dengan hobimu,1
Ko gtu ya parah bgt masa jam kerja ngeroko. Biar dapet inspirasi meren ya,ko gtu ya parah banget masa jam kerja ngeroko biar dapet inspirasi meren ya,0
Maaf kami sudah menghubungi tapi tidak tersambung No Anda meraih hadiah ke-2 dr. PT.MKIOS pin Anda M248K81 cek pin Anda di. www.pusat-m-kios7.blogspot.com,maaf kami sudah menghubungi tapi tidak tersambung no anda meraih hadiah ke 2 dari pt mkios pin anda m248k81 cek pin anda di link,1
"GRATIS PULSA hingga 250rb selama 7Hari 7Malam CUMA dg isi ulang mulai 10rb. Daftar SEGERA, ketik: GRATIS krm ke123(Reg ckp 1kali)Info: ketik INFO krm ke 123",gratis pulsa hingga 250rb selama 7hari 7malam cuma dg isi ulang mulai 10rb daftar segera ketik gratis krm ke123 reg ckp 1kali informasi ketik informasi krm ke 123,1
Guys numpang promosi bisi ada yg butuh..  Dijual MacBook Air Layar 11inch Ram 4gb Ssd 128gb Garansi sisa 5 bulan Dijual karena jarang di pake..  Harga PM ,guys numpang promosi bisi ada yang butuh dijual macbook air layar 11inch ram 4gb ssd 128gb garansi sisa 5 bulan dijual karena jarang di pake harga pm,0
Aku teh cuma bawa celana jeans yg tua tp jilbabnya yg muda -_-,saya teh cuma bawa celana jeans yang tua tp jilbabnya yang muda,0
"Nasabah YTH, rekening BTPN Wow! Anda sudah aktif. Lakukan transaksi melalui *247# menggunakan PIN rahasia Anda. Info hub 1500300.",nasabah yang terhormat rekening btpn wow anda sudah aktif lakukan transaksi melalui 247 menggunakan pin rahasia anda informasi hubungi 1500300,1
Jadi kapan kita meet upnyaa nih temaan temaan?,jadi kapan kita meet upnyaa ini temaan temaan,0
"Saya buat banyak seri untuk PG, oleh karena itu jangan terlalu berharap bisa lihat punya teman (mungkin ini penyebab nilai PG jeblok kemarin?), waktunya akan terbatas dan ruangannya kita pake yg besar.",saya untuk banyak seri untuk pg oleh karena itu jangan terlalu berharap bisa lihat punya teman mungkin ini penyebab nilai pg jeblok kemarin waktunya akan terbatas dan ruangannya kita pake yang besar,0
"Assalamualaikum akang teteh, jangan lupa ya hari ini ada carrier day jam 10:30, exhibition fpmipa b :) (love) Hayuu teh ditungguuu",assalamualaikum akang teteh jangan lupa ya hari ini ada carrier day jam 10 30 exhibition fpmipa b love hayuu teh ditungguu,0
Pak saya pake yang 6.0 malah bingung pak,pak saya pake yang 6 0 malah bingung pak,0
"Kejutan POIN, hadian Rp 15 jt resmi diberikan untuk pemilik nomor 0812330xxxx. PIN-x7af2547. Untuk Info Kantor Pusat TELKOMSEL 021-23867047, 021-23867048.",kejutan poin hadian rupiah 15 juta resmi diberikan untuk pemilik nomor 0812330xx pin x7af2547 untuk informasi kantor pusat telkomsel 021 23867047 021 23867048,1
Nomor OTP anda adalah [8874] -Telkomsel-,nomor otp anda adalah 8874 telkomsel,0
Paket 1.5GB berhasil diaktifkan. Restart hape kamu utk dpt menikmati kuota internetan selama 90hari. Cek sisa kuota di *557*8#,paket 1 5gb berhasil diaktifkan restart hape kamu untuk dapat menikmati kuota internetan selama 90hari cek sisa kuota di 557 8,1
Mainkan terus gamesmu & beli sebanyak2nya apps/in-apps di Google Play Store,mainkan terus gamesmu beli sebanyak2nya apps in apps di google play store,1
Makasih gais doakan kami yg masih berjuang ya 💪,makasih gais doakan kami yang masih berjuang ya,0
PT.MTRONIK Berkah isi ulang pulsa m.tronik no. anda m-dptkan hadiah ke-2 dengan pin pemenang(25e477r) u/info klik; www.undianmtronik75.blogspot.com,pt mtronik berkah isi ulang pulsa m tronik no anda m dptkan hadiah ke 2 dengan pin pemenang 25e477r untuk informasi klik link,1
Boleh minta alamat nya kalo dari gang softball kmna gtu,boleh minta alamat nya kalau dari gang softball kmna gtu,0
"Khusus buat kamu yg doyan internetan! Cukup 10rb k, bs internetan slm 1 minggu (kuota 1,5 GB). Buruan ketik OKE ke 919. Pnwrn sd 30/09/2015 Khusus Nomor Ini.",khusus untuk kamu yang doyan internetan cukup 10rb k bs internetan slm 1 minggu kuota 1 5 gb buruan ketik oke ke 919 pnwrn sd 30 09 2015 khusus nomor ini,1
Gais kalau ada chat2 sebelumnya tolong dibaca dan dipahami biar ga ulg2 😂😂,gais kalau ada chat2 sebelumnya tolong dibaca dan dipahami biar tidak ulg2,0
"[INFO PLA]Assalam..Bagi yg ambil mk pla wajib kumpul pada hari/tgl kamis,25 agustus 2016 pukul 10.00 WIBB..Agenda: pembekalan dan penjelasan PLA.Tempat : Gdg JICA lt.3 R.S301.Demikian informasiny..harap diperhatikan d disebarkan",informasi pla assalam bagi yang ambil mk pla wajib kumpul pada hari tgl kamis 25 agustus 2016 pukul 10 00 wibb agenda pembekalan dan penjelasan pla tempat gdg jica lt 3 r s301 demikian informasiny harap diperhatikan d disebarkan,0
Yuks internetan seru-seruan dg Flash Volume Ultima kuota 1.8GB/30hr mulai dari Rp60rb sesuai zona lokasi. Hub *363*145#. Info tarif & lokasi lihat di tsel.me/FL,yuks internetan seru seruan dg flash volume ultima kuota 1 8gb 30hr mulai dari rp60rb sesuai zona lokasi hubungi 363 145 informasi tarif lokasi lihat di tsel me fl,1
"Aku ingin pagi, tp masa berdua nama1 doang pake grab :( nunggu nama1 siang :(",saya ingin pagi tp masa berdua nama1 saja pake grab nunggu nama1 siang,0
"Udah di beres2in, tp lampu depannya ada yg mati kl gasalah",sudah di beres2in tp lampu depannya ada yang mati kalau gasalah,0
